16:55:21.986 [main] INFO  com.AbcApplication:593- No active profile set, falling back to default profiles: default
17:04:24.334 [http-nio-9403-exec-2] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:24.335 [http-nio-9403-exec-2] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:04:29.551 [http-nio-9403-exec-4] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:29.552 [http-nio-9403-exec-4] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:04:32.551 [http-nio-9403-exec-3] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:32.552 [http-nio-9403-exec-3] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:04:34.051 [http-nio-9403-exec-5] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:34.052 [http-nio-9403-exec-5] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:04:36.555 [http-nio-9403-exec-6] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:36.556 [http-nio-9403-exec-6] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:04:37.253 [http-nio-9403-exec-7] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:37.254 [http-nio-9403-exec-7] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:04:37.906 [http-nio-9403-exec-8] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:04:37.907 [http-nio-9403-exec-8] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:05:03.404 [http-nio-9403-exec-9] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:05:03.405 [http-nio-9403-exec-9] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:05:07.252 [http-nio-9403-exec-10] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
17:05:07.253 [http-nio-9403-exec-10] INFO  com.controller.TestController:28- TestController -> test -> @RequestHeader got -> dengshuai
17:05:08.329 [http-nio-9403-exec-1] INFO  com.controller.TestController:27- TestController -> test -> @RequestBody got -> PersonInfoVO(name=蚂蚁牙黑, age=68, gender=男, borthDate=Mon May 12 08:00:00 CST 2008)
